encoder,query_track,query_song,query_emotion,query_genre_top,rank,neighbor_track,neighbor_song,neighbor_emotion,neighbor_genre_top,same_emotion,same_genre
audio_ib_orig,track_001,$0,"Sadness, Loss & Lament",Folk,1,track_113,Say Something,"Sadness, Loss & Lament",Folk,True,True
audio_ib_orig,track_001,$0,"Sadness, Loss & Lament",Folk,2,track_125,Stay,"Awe, Beauty & Transcendence",Pop,False,False
audio_ib_orig,track_001,$0,"Sadness, Loss & Lament",Folk,3,track_052,Glimpse of Us,"Sadness, Loss & Lament",Pop,True,False
audio_ib_orig,track_001,$0,"Sadness, Loss & Lament",Folk,4,track_030,Can you feel the love tonight,Tender & Intimacy,Pop,False,False
audio_ib_orig,track_001,$0,"Sadness, Loss & Lament",Folk,5,track_142,Watching Him Fade Away,"Sadness, Loss & Lament",Rock,True,False
audio_ib_orig,track_002,12:45 - Stripped,"Sadness, Loss & Lament",Pop,1,track_035,Christmas List,Tender & Intimacy,Pop,False,True
audio_ib_orig,track_002,12:45 - Stripped,"Sadness, Loss & Lament",Pop,2,track_073,In Case You Don't Live Forever,Tender & Intimacy,Folk,False,False
audio_ib_orig,track_002,12:45 - Stripped,"Sadness, Loss & Lament",Pop,3,track_135,Too Good At Goodbyes,"Sadness, Loss & Lament",R&B,True,False
audio_ib_orig,track_002,12:45 - Stripped,"Sadness, Loss & Lament",Pop,4,track_030,Can you feel the love tonight,Tender & Intimacy,Pop,False,True
audio_ib_orig,track_002,12:45 - Stripped,"Sadness, Loss & Lament",Pop,5,track_142,Watching Him Fade Away,"Sadness, Loss & Lament",Rock,True,False
audio_ib_orig,track_003,1999,Vital & Joyful,Pop,1,track_024,Better Things,Vital & Joyful,Pop,True,True
audio_ib_orig,track_003,1999,Vital & Joyful,Pop,2,track_004,360,Vital & Joyful,Pop,True,True
audio_ib_orig,track_003,1999,Vital & Joyful,Pop,3,track_025,bittersweet,"Sadness, Loss & Lament",Pop,False,True
audio_ib_orig,track_003,1999,Vital & Joyful,Pop,4,track_072,II HANDS II HEAVEN,"Dreaminess, Curiosity & Ambiguity",Country,False,False
audio_ib_orig,track_003,1999,Vital & Joyful,Pop,5,track_061,Hot Body,Tender & Intimacy,Pop,False,True
audio_ib_orig,track_004,360,Vital & Joyful,Pop,1,track_003,1999,Vital & Joyful,Pop,True,True
audio_ib_orig,track_004,360,Vital & Joyful,Pop,2,track_024,Better Things,Vital & Joyful,Pop,True,True
audio_ib_orig,track_004,360,Vital & Joyful,Pop,3,track_072,II HANDS II HEAVEN,"Dreaminess, Curiosity & Ambiguity",Country,False,False
audio_ib_orig,track_004,360,Vital & Joyful,Pop,4,track_150,Zen,"Awe, Beauty & Transcendence",Pop,False,True
audio_ib_orig,track_004,360,Vital & Joyful,Pop,5,track_025,bittersweet,"Sadness, Loss & Lament",Pop,False,True
audio_ib_orig,track_005,:) ,Vital & Joyful,Pop,1,track_138,Valder Fields,"Awe, Beauty & Transcendence",Folk,False,False
audio_ib_orig,track_005,:) ,Vital & Joyful,Pop,2,track_078,Juna,Tender & Intimacy,Pop,False,True
audio_ib_orig,track_005,:) ,Vital & Joyful,Pop,3,track_131,The Way Things Go,"Sadness, Loss & Lament",Rock,False,False
audio_ib_orig,track_005,:) ,Vital & Joyful,Pop,4,track_143,Water,Tender & Intimacy,R&B,False,False
audio_ib_orig,track_005,:) ,Vital & Joyful,Pop,5,track_094,Never Ending Song,"Tension, Threat & Aggression",Pop,False,True
audio_ib_orig,track_006,A Pearl,"Tension, Threat & Aggression",Rock,1,track_065,Human,"Tension, Threat & Aggression",Rock,True,True
audio_ib_orig,track_006,A Pearl,"Tension, Threat & Aggression",Rock,2,track_107,Real Love,"Sadness, Loss & Lament",Folk,False,False
