track_id,song_title,n_chars,chorus_used,chorus_found
track_001,$0,948,making me feel like a dollar in your hand you're making me,True
track_002,12:45 - Stripped,1000,oh baby you gotta stop i see that you're calling i told,True
track_003,1999,999,i just wanna go back back to 1999 take a ride to,True
track_004,360,1000,drop down yeah put the camera flash on so stylish baby tee,True
track_005,:) ,999,who cares cause something's happening i feel happier i could be losing,True
track_006,A Pearl,769,sorry i don't want your touch it's not that i don't want,True
track_007,A Trick of the light,1000,and if i see a sign in the sky tonight no one's,True
track_008,A Whiter Shade of Pale,1000,and so it was that later as the miller told his tale,True
track_009,Aint It Funny ,1000,ain't it funny how it happens ain't it ain't it funny how,True
track_010,Air Supply,999,you and i keep with me love pretend to you and i,True
track_011,All By Myself,739,all by myself don't wanna be all by myself anymore all by,True
track_012,Amazing Grace,760,amazing grace how sweet the sound that saved a wretch like me,True
track_013,Anchor,797,else and i hear your ship is comin in your tears a,True
track_014,Anemone,960,you're not around glad that you're not around glad that you're not,True
track_015,Animals,460,and buy yourself an,True
track_016,Another Day of Sun,1000,ba da ba da ba,True
track_017,Are You Bored Yet (feat. Clairo),1000,cause we could stay at home and watch the sunset but i,True
track_018,Au Pays du Cocaine,636,you can change you can change you can change you can change,True
track_019,Bad Guy,999,so you're a tough guy like it really rough guy just can't,True
track_020,Because You Loved Me,1000,you were my strength when i was weak you were my voice,True
track_021,Before I Sleep,693,"Burning, the roads through my mind are on fire For the light you shed was blinding A rabbit caught in your glow, I am frozen In the yielding tar, sticky and golden I foresee this ending in a shower of flame So drink your holy water soon And I'll wash my loving hands I'm through For I am of the sun A",False
track_022,Believer,1000,pain you made me a you made me a believer believer,True
track_023,Best Part,1000,i just wanna see how beautiful you are you know that i,True
track_024,Better Things,1000,better things to do with my time better things to do with,True
track_025,bittersweet,1000,it all on me i know i should be bitter but baby,True
track_026,Bloody Samaritan (Remix),1000,vibe killer bloody samaritan protect my energy from your bad aura na,True
track_027,Bloom,823,can i be close to you ah ooh aah ooh aah can,True
track_028,Breathe,780,another day just believe another day just breathe another day just,True
track_029,By This River,360,"Here we are, stuck by this river You and I, underneath the sky that's ever Falling down, down, down Ever falling down Through the day, as if on an ocean Waiting here, always failing to remember Why we came, came, came I wonder why we came? You talk to me as if from a distance And I reply with impres",False
track_030,Can you feel the love tonight,943,and can you feel the love tonight it is where we are,True
track_031,Champion,1000,did you realize that you were a champion in their eyes,True
track_032,Cherry-Coloured Funk,999,beetles and eggs and blues and pour a little everything else you,True
track_033,CHIHIRO,1000,i don't i don't know why i called i don't know you,True
track_034,Chop Suey!,1000,serj tankian wake up wake up grab a brush and put a,True
track_035,Christmas List,1000,already know i tried to make my christmas list but i don't,True
track_036,Come Away With Me,537,come away with me in the night come away with me,True
track_037,come out and play,886,i know it makes you nervous but i promise you it's worth,True
track_038,comethru,1000,and there's one thing that i need from you can you come,True
track_039,Cruel Summer,999,it oh yeah you're right i want it,True
track_040,Dancing In The Moonlight,1000,dancing in the moonlight everybody's feeling warm and bright it's such a,True
track_041,Death with Dignity,1000,what is that song you sing for the dead,True
track_042,Defying Gravify ,1000,defying gravity i think i'll try defying gravity,True
track_043,Die With A Smile,999,bruno mars wherever you go that's where i'll follow nobody's promised tomorrow,True
track_044,Disappear,1000,when i think about it i know that i was never there,True
track_045,Don't Fear the Reaper,1000,we can be like they are come on baby don't fear the,True
track_046,Down with the Sickness,1000,you've woken up the demon in me,True
track_047,drunk,981,all my friends are drunk again and i'm stumblin back to bed,True
track_048,Everybody Talks,1000,it started with a whisper and that was when i kissed her,True
track_049,"Everywhere, Everything",1000,we didn't know that the sun was collapsing til the seas rose,True
track_050,Fields of Gold,999,you'll remember me when the west wind moves upon the fields of,True
track_051,Fix You,868,lights will guide you home and ignite your bones and i will,True
track_052,Glimpse of Us,1000,when you're out of sight in my mind cause sometimes i look,True
track_053,Golden hour,1000,i was all alone with the love of my life she's got,True
track_054,Happy,1000,because i'm happy clap along if you feel like a room without,True
track_055,Hard Times,1000,when i hit the ground when i hit the ground when i,True
track_056,Harvest Moon,682,because i'm still in love with you i want to see you,True
track_057,Head Like a Haunted House,1000,"Hoy! Your head's like a haunted house A tutti frutti written over a caption Misdiagnosis with-a the most-est Cue the evil smile Desperation can lead to madness De-de-de-degradation is a must The A-B-C's of leprosy Need a hand? Take mine We're subleem, sublime Fake apologize Fucks in short supply (Ye",False
