track_id,n_chars,n_words
track_001,948,215
track_002,1000,230
track_003,1000,201
track_004,1000,213
track_005,1000,210
track_006,769,183
track_007,1000,252
track_008,1000,200
track_009,1000,200
track_010,1000,200
track_011,739,152
track_012,760,155
track_013,797,176
track_014,960,210
track_015,460,86
track_016,1000,215
track_017,1000,218
track_018,636,141
track_019,1000,225
track_020,1000,230
track_021,693,146
track_022,1000,213
track_023,1000,234
track_024,1000,228
track_025,1000,235
track_026,1000,209
track_027,823,185
track_028,780,142
track_029,360,70
track_030,943,195
track_031,1000,222
track_032,1000,200
track_033,1000,227
track_034,1000,200
track_035,1000,223
track_036,537,126
track_037,886,200
track_038,1000,207
track_039,1000,220
track_040,1000,187
track_041,1000,218
track_042,1000,203
track_043,1000,214
track_044,1000,203
track_045,1000,205
track_046,1000,222
track_047,981,216
track_048,1000,199
track_049,1000,212
track_050,1000,209
track_051,868,182
track_052,1000,232
track_053,1000,210
track_054,1000,220
track_055,1000,221
track_056,682,146
track_057,1000,201
track_058,840,180
track_059,1000,194
track_060,1000,218
track_061,1000,192
track_062,1000,227
track_063,405,94
track_064,786,171
track_065,919,194
track_066,1000,192
track_067,1000,229
track_068,1000,197
track_069,1000,198
track_070,788,185
track_071,626,136
track_072,1000,190
track_073,1000,228
track_074,1000,205
track_075,1000,221
track_076,1000,214
track_077,560,121
track_078,688,156
track_079,685,146
track_080,1000,217
track_081,1000,198
track_082,1000,189
track_083,836,172
track_084,1000,230
track_085,1000,214
track_086,406,89
track_087,1000,206
track_088,1000,205
track_089,952,224
track_090,1000,206
track_091,1000,212
track_092,1000,194
track_093,647,145
track_094,774,169
track_095,1000,227
track_096,1000,211
track_097,1000,220
track_098,663,137
track_099,1000,225
track_100,1000,198
track_101,1000,203
track_102,1000,208
track_103,1000,217
track_104,1000,218
track_105,1000,237
track_106,1000,221
track_107,899,179
track_108,1000,217
track_109,1000,230
track_110,799,169
track_111,934,206
track_112,716,154
track_113,715,160
track_114,669,137
track_115,960,188
track_116,493,91
track_117,1000,231
track_118,1000,196
track_119,1000,202
track_120,520,118
track_121,1000,200
track_122,688,146
track_123,676,134
track_124,516,132
track_125,1000,222
track_126,1000,221
track_127,1000,199
track_128,1000,210
track_129,489,101
track_130,430,83
track_131,1000,230
track_132,537,112
track_133,1000,225
track_134,1000,219
track_135,1000,232
track_136,1000,234
track_137,1000,220
track_138,752,150
track_139,1000,203
track_140,1000,213
track_141,599,126
track_142,656,131
track_143,1000,216
track_144,1000,236
track_145,727,146
track_146,775,183
track_147,1000,222
track_148,1000,211
track_149,1000,216
track_150,1000,192
